id,DRAFTID,CombineID,Year,Name,FirstName,LastName,Position,HeightInchesTotal,HeightFeet,HeightInches,Weight(LBS),ArmLength(Inches),HandsSize(Inches),FortyYardDash,TwentyYardDashSplit,TenYardDashSplit,TwentyYardShuttle,ThreeConeDrill,VerticalJump,BroadJump,BenchPressReps,DraftRound,College,PickRound,PickTotal,Wonderlic
8995,2013123,SharrifFloyd20131,2013,Sharrif Floyd,Sharrif,Floyd,DT,75,6,3,297,31.75,10.125,4.92,,1.68,4.75,7.4,30,106,,1,Florida,23,23,
8996,,KwameGeathers2013,2013,Kwame Geathers,Kwame,Geathers,DT,77,6,5,342,35.25,9.5,5.44,,1.88,5.27,8.11,26.5,96,,,,,,
8997,,CoryGrissom2013,2013,Cory Grissom,Cory,Grissom,DT,73,6,1,306,33.25,9.25,5.31,,1.74,4.81,7.79,27.5,97,22,,,,,
8998,2013249,JohnathanHankins20132,2013,Johnathan Hankins,Johnathan,Hankins,DT,75,6,3,320,33,9.5,5.31,,1.8,4.61,7.59,26,104,,2,Ohio State,17,49,
8999,2013387,JordanHill20133,2013,Jordan Hill,Jordan,Hill,DT,73,6,1,303,33.5,10.25,5.23,,1.75,4.51,7.49,22.5,103,28,3,Penn State,25,87,
9000,20135139,MontoriHughes20135,2013,Montori Hughes,Montori,Hughes,DT,76,6,4,329,32.625,10.125,5.23,,1.83,4.7,7.85,26.5,104,22,5,Tennessee-Martin,6,139,
9001,2013382,JohnJenkins20133,2013,John Jenkins,John,Jenkins,DT,76,6,4,346,34,9.5,5.2,,,,,24.5,,30,3,Georgia,20,82,
9002,,AbryJones2013,2013,Abry Jones,Abry,Jones,DT,75,6,3,313,35,9.75,,,,,,26.5,101,30,,,,,
9003,,ChrisJones2013,2013,Chris Jones,Chris,Jones,DT,74,6,2,302,32.75,9,5.33,,1.83,4.44,7.34,,,30,,,,,
9004,2013367,BennieLogan20133,2013,Bennie Logan,Bennie,Logan,DT,74,6,2,309,34,10.25,,,,4.67,7.53,25,104,30,3,LSU,5,67,
9005,2013113,SheldonRichardson20131,2013,Sheldon Richardson,Sheldon,Richardson,DT,74,6,2,294,34.5,10.5,5.02,,1.69,,,32,116,30,1,Missouri,13,13,
