id,DRAFTID,CombineID,Year,Name,FirstName,LastName,Position,HeightInchesTotal,HeightFeet,HeightInches,Weight(LBS),ArmLength(Inches),HandsSize(Inches),FortyYardDash,TwentyYardDashSplit,TenYardDashSplit,TwentyYardShuttle,ThreeConeDrill,VerticalJump,BroadJump,BenchPressReps,DraftRound,College,PickRound,PickTotal,Wonderlic
9731,2011236,ColinKaepernick20112,2011,Colin Kaepernick,Colin,Kaepernick,QB,77,6,5,233,33.5,9.125,4.53,,,4.18,6.85,32.5,115,,2,Nevada,4,36,
9732,201118,JakeLocker20111,2011,Jake Locker,Jake,Locker,QB,75,6,3,231,31.625,9.625,4.51,,,4.12,,35,115,,1,Washington,8,8,20
9733,2011374,RyanMallett20113,2011,Ryan Mallett,Ryan,Mallett,QB,79,6,7,253,34.375,10.75,5.24,,,,,24,,,3,Arkansas,10,74,26
9734,20117208,GregMcElroy20117,2011,Greg McElroy,Greg,McElroy,QB,74,6,2,220,30.75,9.375,4.84,,,4.45,,33,107,,7,Alabama,5,208,43
9735,201111,CamNewton20111,2011,Cam Newton,Cam,Newton,QB,77,6,5,248,33.75,9.875,4.56,,,4.18,6.92,35,126,,1,Auburn,1,1,21
9736,2011112,ChristianPonder20111,2011,Christian Ponder,Christian,Ponder,QB,74,6,2,229,32.125,10.25,4.63,,,4.09,,34,116,,1,Florida State,12,12,35
9737,,JoshPortis2011,2011,Josh Portis,Josh,Portis,QB,75,6,3,211,34.125,9.375,4.59,,,4.12,,40,126,,,,,,
9738,20115135,RickyStanzi20115,2011,Ricky Stanzi,Ricky,Stanzi,QB,76,6,4,223,32,10,4.87,,,4.43,,32.5,110,,5,Iowa,4,135,30
9739,20116180,TyrodTaylor20116,2011,Tyrod Taylor,Tyrod,Taylor,QB,73,6,1,217,32.25,10,4.47,,,4.09,,37.5,126,,6,Virginia Tech,15,180,
9740,,ScottTolzien2011,2011,Scott Tolzien,Scott,Tolzien,QB,74,6,2,212,30.5,10,4.92,,,4.12,,29.5,116,,,,,,
9741,,JeffVanCamp2011,2011,Jeff Van Camp,Jeff,Van,QB,77,6,5,218,32.5,10.5,4.83,,,4.16,,31,114,,,,,,
9742,20115152,T.J.Yates20115,2011,T.J. Yates,T.J.,Yates,QB,75,6,3,219,32.5,10.25,5.06,,,4.12,,29.5,104,,5,North Carolina,21,152,
9743,20117225,AnthonyAllen20117,2011,Anthony Allen,Anthony,Allen,RB,73,6,1,228,30.375,9.625,4.56,,,4.06,,41.5,120,24,7,Georgia Tech,22,225,
9744,,ArmandoAllen2011,2011,Armando Allen,Armando,Allen,RB,68,5,8,199,30.25,8.75,4.52,,,,,,,23,,,,,
9745,,MattAsiata2011,2011,Matt Asiata,Matt,Asiata,RB,71,5,11,229,30.125,9.5,4.77,,,4.37,,30,104,22,,,,,
9746,,DamienBerry2011,2011,Damien Berry,Damien,Berry,RB,70,5,10,211,32.25,9.375,4.58,,,4.12,,33.5,120,23,,,,,
9747,20116187,AllenBradford20116,2011,Allen Bradford,Allen,Bradford,RB,71,5,11,242,32.125,9.375,4.53,,,4.39,,29,113,28,6,USC,22,187,
9748,20114119,DeloneCarter20114,2011,Delone Carter,Delone,Carter,RB,69,5,9,222,31,9.5,4.54,,,4.07,,37,120,27,4,Syracuse,22,119,
9749,,JohnClay2011,2011,John Clay,John,Clay,RB,73,6,1,230,31,8.75,4.83,,,,,29,111,,,,,,
9750,,GraigCooper2011,2011,Graig Cooper,Graig,Cooper,RB,70,5,10,205,31.75,9.5,4.6,,,4.03,,,114,18,,,,,
9751,,NoelDevine2011,2011,Noel Devine,Noel,Devine,RB,68,5,8,179,29.25,8.625,4.34,,,,,,,24,,,,,
9752,,ShaunDraughn2011,2011,Shaun Draughn,Shaun,Draughn,RB,71,5,11,213,31,10,4.73,,,4.2,,34,118,21,,,,,
9753,,DarrenEvans2011,2011,Darren Evans,Darren,Evans,RB,73,6,1,227,31.75,9.75,4.56,,,4.46,,35,111,26,,,,,
9754,,MarioFannin2011,2011,Mario Fannin,Mario,Fannin,RB,70,5,10,231,30.75,9.5,4.37,,,4.21,,37.5,115,21,,,,,
9755,,AlexGreen2011,2011,Alex Green,Alex,Green,RB,73,6,1,225,32,9.125,4.45,,,4.15,,34,114,20,,,,,
9756,,JohnGriffin2011,2011,John Griffin,John,Griffin,RB,71.375,5,11.375,205,,,4.57,2.65,1.58,4.28,6.82,36,121,19,,,,,
9757,20114130,JamieHarper20114,2011,Jamie Harper,Jamie,Harper,RB,71,5,11,233,30.375,8.875,4.53,,,4.39,,36.5,120,24,4,Clemson,33,130,
9758,20114105,RoyHelu20114,2011,Roy Helu,Roy,Helu,RB,73,6,1,219,31.375,10.25,4.4,,,4.01,,36.5,119,11,4,Nebraska,8,105,
9759,20114115,KendallHunter20114,2011,Kendall Hunter,Kendall,Hunter,RB,67,5,7,199,31,8.75,4.46,,,4.21,,35,122,24,4,Oklahoma State,18,115,
9760,2011128,MarkIngram20111,2011,Mark Ingram,Mark,Ingram,RB,69,5,9,215,30.75,9.5,4.62,,,4.62,,31.5,113,21,1,Alabama,28,28,
9761,20114125,TaiwanJones20114,2011,Taiwan Jones,Taiwan,Jones,RB,72,6,,194,29.5,8.75,4.53,,,,,,,13,4,Eastern Washington,28,125,
9762,2011257,MikelLeshoure20112,2011,Mikel Leshoure,Mikel,Leshoure,RB,73,6,1,227,32.625,9.5,4.56,,,4.4,,38,122,21,2,Illinois,25,57,
9763,20115149,DionLewis20115,2011,Dion Lewis,Dion,Lewis,RB,67,5,7,193,28.125,8.75,4.56,,,4.18,,34.5,112,17,5,Pittsburgh,18,149,
9764,,DerrickLocke2011,2011,Derrick Locke,Derrick,Locke,RB,68,5,8,188,28.875,9,4.37,,,4.15,,37.5,118,16,,,,,
9765,2011371,DeMarcoMurray20113,2011,DeMarco Murray,DeMarco,Murray,RB,73,6,1,213,32,9.25,4.37,,,4.18,,34.5,130,21,3,Oklahoma,7,71,
9766,20114126,BilalPowell20114,2011,Bilal Powell,Bilal,Powell,RB,71,5,11,207,30.875,8.75,4.51,2.64,1.53,,,,,18,4,Louisville,29,126,
9767,2011373,StevanRidley20113,2011,Stevan Ridley,Stevan,Ridley,RB,71,5,11,225,31.875,9.25,4.65,,,4.21,,36,118,18,3,LSU,9,73,
9768,20115145,JacquizzRodgers20115,2011,Jacquizz Rodgers,Jacquizz,Rodgers,RB,66,5,6,196,30.5,8.875,4.59,,,4.26,,33,113,,5,Oregon State,14,145,
9769,20116177,EvanRoyster20116,2011,Evan Royster,Evan,Royster,RB,73,6,1,212,30.75,9.25,4.65,,,4.18,,34,113,20,6,Penn State,12,177,
9770,,BrandonSaine2011,2011,Brandon Saine,Brandon,Saine,RB,71,5,11,220,30.625,9.25,4.4,,,4.25,,34.5,113,22,,,,,
9771,20117221,DaRelScott20117,2011,DaRel Scott,DaRel,Scott,RB,71,5,11,211,32.5,9,4.4,,,4.2,,34,117,19,7,Maryland,18,221,
9772,,VaiTaua2011,2011,Vai Taua,Vai,Taua,RB,70,5,10,213,31.125,9.25,4.65,,,4.18,,34.5,112,20,,,,,
9773,2011262,DanielThomas20112,2011,Daniel Thomas,Daniel,Thomas,RB,72,6,,230,32.375,9,4.63,,,,,,,21,2,Kansas State,30,62,
9774,20116183,JordanTodman20116,2011,Jordan Todman,Jordan,Todman,RB,69,5,9,203,32,9.375,4.4,,,4.18,,38,126,25,6,Connecticut,18,183,
9775,2011256,ShaneVereen20112,2011,Shane Vereen,Shane,Vereen,RB,70,5,10,210,30.625,9,4.49,,,4.28,,34,115,31,2,California,24,56,
9776,20115133,JohnnyWhite20115,2011,Johnny White,Johnny,White,RB,70,5,10,209,30,9.125,4.5,,,4.31,,32.5,117,,5,North Carolina,2,133,
9777,2011238,RyanWilliams20112,2011,Ryan Williams,Ryan,Williams,RB,69,5,9,212,30.75,9,4.59,,,4.18,,40,123,19,2,Virginia Tech,6,38,
9778,20115151,AhmadBlack20115,2011,Ahmad Black,Ahmad,Black,SS,70,5,10,184,31,9.875,4.7,,,4.2,,35.5,119,18,5,Florida,20,151,
9779,20115146,DeJonGomes20115,2011,DeJon Gomes,DeJon,Gomes,SS,73,6,1,208,31.375,9.625,4.5,,,,,31,110,13,5,Nebraska,15,146,
9780,,JeronJohnson2011,2011,Jeron Johnson,Jeron,Johnson,SS,70,5,10,212,31.125,9,4.51,,,,,,,23,,,,,
9781,20115144,ShilohKeo20115,2011,Shiloh Keo,Shiloh,Keo,SS,71,5,11,219,30,9.5,4.74,,,3.9,,32.5,110,24,5,Idaho,13,144,
9782,,JoeLefeged2011,2011,Joe Lefeged,Joe,Lefeged,SS,73,6,1,210,31.5,9.625,4.42,,,4.13,,36.5,122,18,,,,,
9783,,DeAndreMcDaniel2011,2011,DeAndre McDaniel,DeAndre,McDaniel,SS,73,6,1,217,32.5,10.125,4.63,,,,,35,116,,,,,,
9784,20116198,TylerSash20116,2011,Tyler Sash,Tyler,Sash,SS,73,6,1,211,30,9.375,4.62,,,4.27,,33,108,11,6,Iowa,33,198,
9785,20114100,DaNorrisSearcy20114,2011,DaNorris Searcy,DaNorris,Searcy,SS,71,5,11,223,33.5,9.5,4.55,,,4.09,,33,120,27,4,North Carolina,3,100,
9786,,DavidSims2011,2011,David Sims,David,Sims,SS,69,5,9,200,31,8.75,4.5,,,4.28,,37.5,120,24,,,,,
9787,,NateWilliams2011,2011,Nate Williams,Nate,Williams,SS,73,6,1,211,31.125,9,4.68,,,4.15,,30.5,114,17,,,,,
9788,20114102,JordanCameron20114,2011,Jordan Cameron,Jordan,Cameron,TE,77,6,5,254,33.5,9.75,4.53,,,4.03,,37.5,119,23,4,USC,5,102,
9789,,CharlieGantt2011,2011,Charlie Gantt,Charlie,Gantt,TE,76,6,4,252,32.625,9.5,4.85,,,4.4,,30.5,112,27,,,,,
9790,,CameronGraham2011,2011,Cameron Graham,Cameron,Graham,TE,75,6,3,244,31.5,9.625,5,,,4.51,,31,105,18,,,,,
9791,20117204,VirgilGreen20117,2011,Virgil Green,Virgil,Green,TE,75,6,3,249,33.5,9.25,4.54,,,4.4,,42.5,130,23,7,Nevada,1,204,
9792,20117238,DanielHardy20117,2011,Daniel Hardy,Daniel,Hardy,TE,76,6,4,249,31.75,10,4.77,,,,,,,18,7,Idaho,35,238,
9793,,RobHousler2011,2011,Rob Housler,Rob,Housler,TE,77,6,5,248,34.5,9.75,4.46,,,4.21,,37,117,22,,,,,
9794,2011247,LanceKendricks20112,2011,Lance Kendricks,Lance,Kendricks,TE,75,6,3,243,32,9.625,4.65,,,4.15,,34.5,122,25,2,Wisconsin,15,47,
9795,,SchuylarOordt2011,2011,Schuylar Oordt,Schuylar,Oordt,TE,78,6,6,261,33.75,9.875,4.63,,,4.25,,36,119,18,,,,,
9796,,ZachPianalto2011,2011,Zach Pianalto,Zach,Pianalto,TE,75,6,3,256,33,9.625,4.78,,,4.41,,32,108,22,,,,,
9797,,AllenReisner2011,2011,Allen Reisner,Allen,Reisner,TE,74,6,2,248,33.25,10.5,4.9,,,4.59,,28,108,14,,,,,
9798,,WeslyeSaunders2011,2011,Weslye Saunders,Weslye,Saunders,TE,77,6,5,270,35.625,10.5,4.82,,,,,33.5,,19,,,,,
9799,20115159,LeeSmith20115,2011,Lee Smith,Lee,Smith,TE,78,6,6,266,34.375,9.75,4.94,,,4.28,,29,108,25,5,Marshall,28,159,
9800,20114104,LukeStocker20114,2011,Luke Stocker,Luke,Stocker,TE,77,6,5,258,33,9.75,4.68,,,4.4,,33,115,27,4,Tennessee,7,104,
9801,20114129,JuliusThomas20114,2011,Julius Thomas,Julius,Thomas,TE,77,6,5,246,33,10.25,4.64,,,4.31,,35.5,111,16,4,Portland State,32,129,
9802,20115141,D.J.Williams20115,2011,D.J. Williams,D.J.,Williams,TE,74,6,2,245,31.5,10.375,4.59,,,4.51,,33.5,111,20,5,Arkansas,10,141,
9803,,DarvinAdams2011,2011,Darvin Adams,Darvin,Adams,WR,74,6,2,190,34,9.25,4.56,,,,,,,,,,,,
9804,,JonBaldwin2011,2011,Jon Baldwin,Jon,Baldwin,WR,76,6,4,228,33.53,10.125,4.49,2.57,1.58,4.34,7.07,42,129,20,,,,,
9805,,ArmonBinns2011,2011,Armon Binns,Armon,Binns,WR,75,6,3,209,32.5,9.5,4.5,2.55,1.55,4.31,6.86,31.5,118,13,,,,,
9806,,DeAndreBrown2011,2011,DeAndre Brown,DeAndre,Brown,WR,78,6,6,233,33.25,9.625,4.59,,,4.33,6.93,29,117,20,,,,,
9807,2011382,VincentBrown20113,2011,Vincent Brown,Vincent,Brown,WR,71,5,11,187,33,10.25,4.68,,,4.25,6.64,33.5,121,12,3,San Diego State,18,82,
9808,20117236,StephenBurton20117,2011,Stephen Burton,Stephen,Burton,WR,73,6,1,221,32,9.125,4.5,,,4.31,7.04,34.5,117,19,7,West Texas A&M,33,236,
9809,2011264,RandallCobb20112,2011,Randall Cobb,Randall,Cobb,WR,70,5,10,191,31,9.375,4.46,2.53,1.56,4.34,7.08,33.5,115,16,2,Kentucky,32,64,
9810,,MarkDell2011,2011,Mark Dell,Mark,Dell,WR,72,6,,193,32.75,9.5,4.54,,,,,,,14,,,,,
9811,20114123,TandonDoss20114,2011,Tandon Doss,Tandon,Doss,WR,74,6,2,201,31.25,10.125,4.56,2.72,1.6,4.22,6.91,33.5,116,14,4,Indiana,26,123,
9812,20114111,EdmondGates20114,2011,Edmond Gates,Edmond,Gates,WR,73,6,1,192,30.75,9.375,4.31,2.51,1.53,4.17,6.87,40,131,16,4,Abilene Christian,14,111,
9813,201114,A.J.Green20111,2011,A.J. Green,A.J.,Green,WR,76,6,4,211,34.375,9.25,4.48,2.53,1.55,4.21,6.91,34.5,126,18,1,Georgia,4,4,
9814,,ToriGurley2011,2011,Tori Gurley,Tori,Gurley,WR,76,6,4,216,35,9.75,4.53,,,4.25,7.05,33.5,118,15,,,,,
9815,2011379,LeonardHankerson20113,2011,Leonard Hankerson,Leonard,Hankerson,WR,74,6,2,209,32.25,10.625,4.4,2.53,1.51,4.21,6.94,36,117,14,3,Miami (FL),15,79,
9816,20116176,DwayneHarris20116,2011,Dwayne Harris,Dwayne,Harris,WR,70,5,10,203,31.125,10.125,4.53,,,4.21,6.77,34,111,10,6,East Carolina,11,176,
9817,,AndreHolmes2011,2011,Andre Holmes,Andre,Holmes,WR,76,6,4,210,34,8.625,4.51,,,4.31,6.69,35,130,11,,,,,
9818,,LestarJean2011,2011,Lestar Jean,Lestar,Jean,WR,75,6,3,215,33,9,4.61,,,4.43,7.45,37.5,113,14,,,,,
9819,2011383,JerrelJernigan20113,2011,Jerrel Jernigan,Jerrel,Jernigan,WR,69,5,9,185,32,9.25,4.46,2.54,1.56,4.25,7.07,37.5,117,11,3,Troy,19,83,
9820,20116182,RonaldJohnson20116,2011,Ronald Johnson,Ronald,Johnson,WR,71,5,11,199,30.75,9,4.46,,,,,,,16,6,USC,17,182,
9821,201116,JulioJones20111,2011,Julio Jones,Julio,Jones,WR,75,6,3,220,33.75,9.75,4.34,2.47,1.5,4.25,6.66,38.5,135,17,1,Alabama,6,6,
9822,20115153,JeremyKerley20115,2011,Jeremy Kerley,Jeremy,Kerley,WR,70,5,10,189,30,9,4.56,2.63,1.58,3.99,6.7,34.5,120,16,5,TCU,22,153,
9823,2011259,GregLittle20112,2011,Greg Little,Greg,Little,WR,75,6,3,231,33.25,9.125,4.51,,,4.21,6.8,40.5,129,27,2,North Carolina,27,59,
9824,,RicardoLockette2011,2011,Ricardo Lockette,Ricardo,Lockette,WR,74,6,2,211,33.75,9.75,4.34,2.48,1.52,4.19,7.15,35.5,127,22,,,,,
9825,,JeffMaehl2011,2011,Jeff Maehl,Jeff,Maehl,WR,73,6,1,190,31.5,9.125,4.56,2.69,1.6,3.94,6.42,33.5,115,8,,,,,
9826,20115148,DenariusMoore20115,2011,Denarius Moore,Denarius,Moore,WR,73,6,1,194,33,9.5,4.43,2.5,1.55,4.15,6.78,36,118,13,5,Tennessee,17,148,
9827,,O.J.Murdock2011,2011,O.J. Murdock,O.J.,Murdock,WR,71,5,11,197,32,9,4.53,,,4.37,,34.5,116,15,,,,,
9828,20115155,NilesPaul20115,2011,Niles Paul,Niles,Paul,WR,73,6,1,224,31,8.875,4.45,,,4.14,6.9,34.5,117,24,5,Nebraska,24,155,
9829,2011378,AustinPettis20113,2011,Austin Pettis,Austin,Pettis,WR,75,6,3,209,31.75,9.75,4.56,,,3.88,6.68,33.5,120,14,3,Boise State,14,78,
9830,20115132,KealohaPilares20115,2011,Kealoha Pilares,Kealoha,Pilares,WR,70,5,10,199,30.5,8.75,4.56,,,,,,,19,5,Hawaii,1,132,
9831,20116178,AldrickRobinson20116,2011,Aldrick Robinson,Aldrick,Robinson,WR,70,5,10,184,29.5,8.75,4.35,,,4.09,6.65,40,126,17,6,Southern Methodist,13,178,
9832,,GregSalas2011,2011,Greg Salas,Greg,Salas,WR,73,6,1,210,32,9.25,4.53,2.6,1.56,4.1,6.65,37,120,15,,,,,
9833,20117249,DeMarcoSampson20117,2011,DeMarco Sampson,DeMarco,Sampson,WR,74,6,2,204,33,9.625,4.69,,,,,,,14,7,San Diego State,46,249,
9834,,JockSanders2011,2011,Jock Sanders,Jock,Sanders,WR,66,5,6,181,28.25,8.875,4.5,,,4.13,6.78,34.5,121,19,,,,,
9835,,DaneSanzenbacher2011,2011,Dane Sanzenbacher,Dane,Sanzenbacher,WR,71,5,11,182,30.5,8.25,4.56,,,3.97,6.46,33.5,118,,,,,,
9836,20114114,CecilShorts20114,2011,Cecil Shorts,Cecil,Shorts,WR,73,6,1,205,31.625,9.25,4.5,,,4.07,6.5,34.5,114,21,4,Mount Union,17,114,
9837,2011258,TorreySmith20112,2011,Torrey Smith,Torrey,Smith,WR,73,6,1,204,32.5,8.5,4.41,2.5,1.51,4.13,6.72,41,126,19,2,Maryland,26,58,
9838,,OwenSpencer2011,2011,Owen Spencer,Owen,Spencer,WR,74,6,2,195,33.375,9.5,4.51,2.55,1.54,4.18,6.86,37.5,125,6,,,,,
9839,,TerranceToliver2011,2011,Terrance Toliver,Terrance,Toliver,WR,76,6,4,212,32,10,4.52,,,4.03,6.48,32,122,,,,,,
9840,20116167,RyanWhalen20116,2011,Ryan Whalen,Ryan,Whalen,WR,73,6,1,202,30,9,4.53,,,4.09,6.67,38.5,123,18,6,Stanford,2,167,
9841,,MarshallWilliams2011,2011,Marshall Williams,Marshall,Williams,WR,73,6,1,188,32,9.25,4.56,2.58,1.59,4.09,6.61,35.5,123,9,,,,,
9842,,JimmyYoung2011,2011,Jimmy Young,Jimmy,Young,WR,73,6,1,204,31.375,9,4.5,,,4.18,7.08,37,115,19,,,,,
9843,2011244,TitusYoung20112,2011,Titus Young,Titus,Young,WR,71,5,11,174,30.875,9,4.43,2.54,1.58,4.3,6.85,35,123,,2,Boise State,12,44,
9844,2011395,CurtisBrown20113,2011,Curtis Brown,Curtis,Brown,CB,73,6,1,185,32.25,9.5,4.51,,,4,,39.5,128,10,3,Texas,31,95,
9845,2011390,CurtisMarsh20113,2011,Curtis Marsh,Curtis,Marsh,CB,73,6,1,197,32,9,4.42,,,4.07,,37.5,123,12,3,Utah State,26,90,
9846,20114131,DavonHouse20114,2011,Davon House,Davon,House,CB,73,6,1,200,31.875,9.5,4.44,,,4.12,,33.5,109,14,4,New Mexico State,34,131,
9847,2011381,DemarcusVanDyke20113,2011,Demarcus Van Dyke,Demarcus,Van,CB,73,6,1,176,31.375,9,4.25,,,4.09,,33.5,,5,3,Miami (FL),17,81,
9848,,DevonTorrence2011,2011,Devon Torrence,Devon,Torrence,CB,73,6,1,199,30.375,9,4.68,,,4.09,,33,111,,,,,,
9849,20114118,JalilBrown20114,2011,Jalil Brown,Jalil,Brown,CB,73,6,1,204,30.75,9.875,4.52,,,4.25,,35.5,116,24,4,Colorado,21,118,
9850,2011127,JimmySmith20111,2011,Jimmy Smith,Jimmy,Smith,CB,74,6,2,211,32.25,9.75,4.42,,,4.06,,36,123,24,1,Colorado,27,27,
9851,2011388,JohnnyPatrick20113,2011,Johnny Patrick,Johnny,Patrick,CB,71,5,11,191,30,8.25,4.59,,,4.16,,32,110,13,3,Louisville,24,88,
9852,,JoshThomas2011,2011,Josh Thomas,Josh,Thomas,CB,70,5,10,191,31.625,9.125,4.46,,,4.15,,38.5,126,13,,,,,
9853,20117206,JustinRogers20117,2011,Justin Rogers,Justin,Rogers,CB,71,5,11,180,31.375,8.25,4.45,,,4.2,,33,114,14,7,Richmond,3,206,
9854,,KendricBurney2011,2011,Kendric Burney,Kendric,Burney,CB,69,5,9,186,29.25,9.125,4.71,,,,,32.5,112,14,,,,,
9855,,KevinRutland2011,2011,Kevin Rutland,Kevin,Rutland,CB,73,6,1,190,31.125,9,4.58,,,4.15,,35.5,115,12,,,,,
9856,2011250,MarcusGilchrist20112,2011,Marcus Gilchrist,Marcus,Gilchrist,CB,70,5,10,195,31.375,8.5,4.45,,,4.12,,38.5,119,26,2,Clemson,18,50,
9857,,MarioButler2011,2011,Mario Butler,Mario,Butler,CB,73,6,1,182,29.5,8.625,4.65,,,4.37,,30.5,120,,,,,,
9858,,NilesBrinkley2011,2011,Niles Brinkley,Niles,Brinkley,CB,70,5,10,193,30.25,9.25,4.54,,,,,33.5,120,15,,,,,
9859,201115,PatrickPeterson20111,2011,Patrick Peterson,Patrick,Peterson,CB,72,6,,219,32,9.25,4.31,,,4.07,,38,,15,1,LSU,5,5,
9860,2011119,PrinceAmukamara20111,2011,Prince Amukamara,Prince,Amukamara,CB,73,6,1,206,30.5,8.5,4.38,,,4.08,,38,128,15,1,Nebraska,19,19,
9861,20114127,RashadCarmichael20114,2011,Rashad Carmichael,Rashad,Carmichael,CB,70,5,10,192,31.75,9,4.53,,,4.06,,31,116,13,4,Virginia Tech,30,127,
9862,2011233,Ras-IDowling20112,2011,Ras-I Dowling,Ras-I,Dowling,CB,73,6,1,198,31,9.5,4.4,,,,,,,19,2,Virginia,1,33,
9863,20115154,RichardSherman20115,2011,Richard Sherman,Richard,Sherman,CB,75,6,3,195,32,9.75,4.54,,,4.33,,38,125,16,5,Stanford,23,154,
9864,2011389,ShareeceWright20113,2011,Shareece Wright,Shareece,Wright,CB,71,5,11,185,32.25,9.5,4.41,,,,,34.5,113,16,3,USC,25,89,
9865,,VanceCuff2011,2011,Vance Cuff,Vance,Cuff,CB,70,5,10,178,31.25,9.625,4.53,,,4.09,,36,120,,,,,,
9866,,A.J.Jefferson2010,2010,A.J. Jefferson,A.J.,Jefferson,CB,73,6,1,193,32.5,9.25,4.42,,,4,,44,126,7,,,,,
9867,20104126,AkwasiOwusu-Ansah20104,2010,Akwasi Owusu-Ansah,Akwasi,Owusu-Ansah,CB,73,6,1,207,32.5,9.125,4.32,,,4.32,,35.5,120,,4,Indiana (PA),28,126,
9868,20104104,AlterraunVerner20104,2010,Alterraun Verner,Alterraun,Verner,CB,70,5,10,189,31,9.125,4.52,,,4.12,,32,116,11,4,UCLA,6,104,
9869,2010366,AmariSpievey20103,2010,Amari Spievey,Amari,Spievey,CB,71,5,11,195,32,9.625,4.52,,,,,35,116,,3,Iowa,2,66,
9870,2010396,BrandonGhee20103,2010,Brandon Ghee,Brandon,Ghee,CB,73,6,1,192,32.5,10.5,4.37,,,4.07,,37,127,15,3,Wake Forest,32,96,
9871,,BrianJackson2010,2010,Brian Jackson,Brian,Jackson,CB,73,6,1,202,34,9.75,4.65,,,4.22,,35.5,120,20,,,,,
9872,,ChrisChancellor2010,2010,Chris Chancellor,Chris,Chancellor,CB,69,5,9,177,30.5,9.375,4.49,,,4.07,,34,115,14,,,,,
9873,2010234,ChrisCook20102,2010,Chris Cook,Chris,Cook,CB,74,6,2,212,32.5,9.25,4.45,,,4.23,,38,132,7,2,Virginia,2,34,
9874,,ChrisHawkins2010,2010,Chris Hawkins,Chris,Hawkins,CB,73,6,1,187,32,9.875,4.43,,,4.46,,35,118,16,,,,,
9875,,CorneliusBrown2010,2010,Cornelius Brown,Cornelius,Brown,CB,71,5,11,198,31.5,10,4.59,,,4.24,,31.5,118,11,,,,,
9876,20105164,CrezdonButler20105,2010,Crezdon Butler,Crezdon,Butler,CB,73,6,1,191,32,8.75,4.43,,,4.23,,39.5,121,17,5,Clemson,33,164,
9877,,DavidPender2010,2010,David Pender,David,Pender,CB,73,6,1,180,32,9,4.37,,,,,39,124,8,,,,,
9878,,RahimAlem2010,2010,Rahim Alem,Rahim,Alem,DE,75,6,3,251,33.25,10.25,4.75,,,4.8,,30.5,106,,,,,,
9879,2010110,TysonAlualu20101,2010,Tyson Alualu,Tyson,Alualu,DE,75,6,3,295,33,10,4.87,,,4.43,,35.5,116,21,1,California,10,10,
9880,,KevinBasped2010,2010,Kevin Basped,Kevin,Basped,DE,77,6,5,258,34.75,9.75,4.75,,,4.88,,29,104,26,,,,,
9881,2010372,AlexCarrington20103,2010,Alex Carrington,Alex,Carrington,DE,77,6,5,285,33.25,10.5,4.92,,,,,,,26,3,Arkansas State,8,72,
9882,20105149,HallDavis20105,2010,Hall Davis,Hall,Davis,DE,76,6,4,271,34.375,9.875,4.84,,,,,,,28,5,Louisiana-Lafayette,18,149,
9883,2010254,CarlosDunlap20102,2010,Carlos Dunlap,Carlos,Dunlap,DE,78,6,6,278,34.625,10,4.68,2.69,1.61,4.61,7.21,31.5,111,21,2,Florida,22,54,
9884,20106186,CliftonGeathers20106,2010,Clifton Geathers,Clifton,Geathers,DE,80,6,8,299,37.75,11.125,4.98,,,,,36,112,26,6,South Carolina,17,186,
9885,20104100,EversonGriffen20104,2010,Everson Griffen,Everson,Griffen,DE,76,6,4,273,32.625,10,4.65,,,,,,,32,4,USC,2,100,
9886,20106175,GregHardy20106,2010,Greg Hardy,Greg,Hardy,DE,76,6,4,281,34,9.75,4.82,,,4.65,,35,117,21,6,Mississippi,6,175,
9887,20107232,JammieKirlew20107,2010,Jammie Kirlew,Jammie,Kirlew,DE,73,6,1,260,32.5,9.875,5.05,,,4.74,,33,111,26,7,Indiana,25,232,
9888,20105153,AustenLane20105,2010,Austen Lane,Austen,Lane,DE,78,6,6,276,33.375,10.125,4.84,,,4.6,,34.5,125,,5,Murray State,22,153,
9889,,BrandonLang2010,2010,Brandon Lang,Brandon,Lang,DE,76,6,4,266,32,8.75,5,,,4.68,,28.5,104,20,,,,,
9890,,GregMiddleton2010,2010,Greg Middleton,Greg,Middleton,DE,75,6,3,268,33,10.125,4.96,,,4.69,,38,116,,,,,,
9891,2010116,DerrickMorgan20101,2010,Derrick Morgan,Derrick,Morgan,DE,75,6,3,266,34.5,9.75,4.77,,,4.43,,34,112,,1,Georgia Tech,16,16,
9892,2010115,JasonPierre-Paul20101,2010,Jason Pierre-Paul,Jason,Pierre-Paul,DE,77,6,5,270,34.75,10.375,4.71,2.29,1.65,4.67,7.18,30.5,115,19,1,South Florida,15,15,
9893,20105134,RickySapp20105,2010,Ricky Sapp,Ricky,Sapp,DE,76,6,4,252,34.5,9.75,4.65,2.62,1.6,4.41,7.29,34,114,23,5,Clemson,3,134,
9894,20107226,GeorgeSelvie20107,2010,George Selvie,George,Selvie,DE,77,6,5,252,34.5,9.375,4.93,,,4.63,,30.5,109,24,7,South Florida,19,226,
9895,2010386,DanielTeo-Nesheim20103,2010,Daniel Teo-Nesheim,Daniel,Teo-Nesheim,DE,76,6,4,263,33.75,10.5,4.73,,,4.18,,37,121,29,3,Washington,22,86,
9896,20107230,C.J.Wilson20107,2010,C.J. Wilson,C.J.,Wilson,DE,75,6,3,290,33.125,10,4.83,,,4.77,,33,116,32,7,East Carolina,23,230,
